date,btc_open,btc_close,eth_open,eth_close,bnb_open,bnb_close,xrp_open,xrp_close,sp500,djia,gold_close,btc_return,eth_return,bnb_return,xrp_return,sp500_return,dow_return,gold_return,btc_intraday,eth_intraday,bnb_intraday,xrp_intraday
2017-07-27,2538.7099609375,2671.780029296875,204.8560028076172,204.3179931640625,0.1051080003380775,0.1077369973063469,0.1752099990844726,0.173456996679306,2475.42,21796.55,1258.42,0.05626918139220716,0.0017895800950811225,0.024719901656698573,-0.0020998719502456353,-0.0009726252406339064,0.003939936465415572,-0.0019193553504012195,0.0524164124326493,-0.0026262820526667167,0.025012339306363745,-0.010005150472727512
2017-07-28,2679.72998046875,2809.010009765625,204.3249969482422,193.1230010986328,0.107632003724575,0.1040669977664947,0.1732109934091568,0.1659370064735412,2472.1,21830.31,1268.91,0.05136275403063939,-0.054792002858213174,-0.034064431268830186,-0.043353628563441826,-0.0013411865461215866,0.001548868972383266,0.00833584971631085,0.04824367762391522,-0.054824402383067045,-0.0331221740255155,-0.041994949584020204
2017-07-31,2763.239990234375,2875.340087890625,197.40499877929688,203.8710021972656,0.1068279966711998,0.1042499989271164,0.1650499999523162,0.167385995388031,2470.3,21891.12,1269.37,0.023613329213638012,0.0556536561543155,0.001758493706451647,0.008732162555438405,-0.0007281258848751415,0.0027855765676254585,0.0003625158600686351,0.040568353835506624,0.03275501359110899,-0.024132229606608522,0.01415325923289722
2017-08-01,2871.300048828125,2718.260009765625,204.68800354003903,226.7689971923828,0.1045949980616569,0.0998668000102043,0.1680240035057068,0.1770530045032501,2476.35,21963.92,1268.92,-0.05463008664141544,0.1123160957091931,-0.04204507397622603,0.05775279522524701,0.002449095251588762,0.0033255493551722637,-0.00035450656624924637,-0.05329991169852166,0.10787634482948344,-0.04520481991562738,0.05373637581035644
2017-08-02,2727.1298828125,2710.669921875,227.0059967041016,219.95199584960935,0.0997212007641792,0.1004519984126091,0.1775310039520263,0.173113003373146,2477.57,22016.24,1266.18,-0.0027922597041331043,-0.030061434442866797,0.005859789262748105,-0.02225322942786756,0.0004926605689827834,0.002382088443228847,-0.0021593165841817807,-0.006035635134665745,-0.03107407274217083,0.0073284080298841306,-0.024885797300364356
2017-08-03,2709.56005859375,2804.72998046875,220.17999267578125,225.3419952392578,0.1003279983997345,0.1066420003771781,0.1732179969549179,0.1746120005846023,2472.16,22026.1,1268.85,0.03469993075685429,0.024505344308554777,0.06162149148236362,0.00865906767399327,-0.0021835911800677232,0.00044785122255186494,0.0021087049234704835,0.03512375434275953,0.023444466959710086,0.06293359857820413,0.00804768357901748
2017-08-04,2806.929931640625,2895.889892578125,225.30799865722656,223.072998046875,0.106684997677803,0.1074939966201782,0.1745550036430359,0.1737429946660995,2476.83,22092.81,1258.73,0.03250220618176569,-0.010069127105995945,0.007989312278339655,-0.00497678232649168,0.0018890363083294837,0.0030286796119149972,-0.007975726051148602,0.031692975280470825,-0.00991975705998699,0.007583061911089288,-0.004651880266904008
2017-08-07,3212.780029296875,3378.93994140625,261.23699951171875,269.17999267578125,0.1339579969644546,0.1488479971885681,0.1797160059213638,0.1790210008621215,2480.91,22118.42,1257.67,0.16680539203722278,0.20669016435246745,0.3847098616540521,0.030378238881891617,0.001647266869345021,0.0011592006630209983,-0.0008421186433944516,0.05171842161436104,0.030405314633489302,0.11115424656629133,-0.003867240737290863
2017-08-08,3370.219970703125,3419.93994140625,269.1000061035156,296.7690124511719,0.1489980071783065,0.2244209945201873,0.1796019971370697,0.1925860047340393,2474.92,22085.34,1260.74,0.012133983057105446,0.10249283203087356,0.5077192757647895,0.0757732545712071,-0.002414436638168982,-0.001495586031913576,0.002441021889684869,0.014752737546906168,0.10282053407688412,0.5062013161801675,0.0722932250417037
2017-08-09,3420.39990234375,3342.469970703125,297.6319885253906,296.0270080566406,0.2247480005025863,0.2429119944572448,0.1925269961357116,0.1829469949007034,2474.02,22048.7,1277.39,-0.022652436016542987,-0.0025002758488922305,0.08239425182386029,-0.05005041693786294,-0.0003636481179190021,-0.001659019059702005,0.013206529498548614,-0.02278386559046073,-0.005392499901310443,0.08081937954526744,-0.04975926195958138
2017-08-10,3341.840087890625,3381.280029296875,296.96099853515625,295.8919982910156,0.2518270015716553,0.3490790128707886,0.1831679940223693,0.1803990006446838,2438.21,21844.01,1286.25,0.011611191404536703,-0.0004560724594397936,0.4370595970394964,-0.013927499915494912,-0.01447441815345063,-0.009283540526198952,0.0069360179741504435,0.011801863754391838,-0.003599800140132104,0.3861857969645128,-0.015117233731059639
2017-08-11,3373.820068359375,3650.6201171875,294.4949951171875,308.864013671875,0.3487850129604339,0.3925719857215881,0.1801750063896179,0.1793069988489151,2441.32,21858.32,1290.41,0.07965625016471445,0.0438403723513372,0.12459349100685801,-0.006053258564993502,0.0012755258980974293,0.0006550994986727066,0.0032342079689018366,0.08204351246352258,0.04879206367826278,0.12554143995321657,-0.004817580185487973
2017-08-14,4066.10009765625,4325.1298828125,298.031005859375,300.09698486328125,0.8729180097579956,1.2955700159072876,0.1683759987354278,0.1699910014867782,2465.84,21993.71,1281.3,0.1847658052530139,-0.02838475322640699,2.300210058356292,-0.051955570178198074,0.01004374682548792,0.006193980141200317,-0.007059771700467343,0.06370472416691314,0.006932094189156533,0.4841829374862668,0.009591644673110954
2017-08-15,4326.990234375,4181.93017578125,299.9519958496094,289.8179931640625,1.32709002494812,1.0565500259399414,0.1697899997234344,0.1612209975719452,2464.61,21998.99,1271.52,-0.033108764571511906,-0.034252232503774294,-0.18449021437097746,-0.051590989159006395,-0.0004988158193557357,0.00024006863780612342,-0.007632872863498008,-0.03352447099171759,-0.03378541508564552,-0.2038595678682422,-0.050468238208651754
2017-08-16,4200.33984375,4376.6298828125,289.8190002441406,302.2669982910156,1.11968994140625,1.4372400045394895,0.1612379997968673,0.1604309976100921,2468.11,22024.87,1283.08,0.04655737873358379,0.0429545625895833,0.3603142011764884,-0.004900105902772012,0.0014201029777529683,0.0011764176446280583,0.009091481062035944,0.041970422780150785,0.04295093846983438,0.28360535483101645,-0.005005037198376726
2017-08-17,4384.43994140625,4331.68994140625,302.80499267578125,301.4570007324219,1.4369699954986572,1.9671499729156492,0.1607870012521743,0.1574980020523071,2430.01,21750.73,1287.74,-0.010268161258673913,-0.0026797419604964734,0.3686997068704261,-0.01828197543789689,-0.015436913265616137,-0.012446838505743685,0.003631885774854293,-0.012031183162491023,-0.004451683347251457,0.36895688781101443,-0.020455628715338806
2017-08-18,4324.33984375,4160.6201171875,301.6969909667969,295.5899963378906,1.925189971923828,2.384000062942505,0.1571169942617416,0.1588830053806305,2425.55,21674.51,1284.62,-0.03949262909690476,-0.019462160043643872,0.211905597319056,0.008793783478367123,-0.0018353833934839914,-0.0035042502021771504,-0.0024228493329400136,-0.03786005089288376,-0.02024214629829819,0.2383193854683294,0.011240102492966994
2017-08-21,4090.47998046875,4001.739990234375,300.4760131835937,321.59100341796875,2.430749893188477,2.7011098861694336,0.1584099978208542,0.1919180005788803,2428.37,21703.75,1291.59,-0.038186645855215695,0.0879630819791215,0.13301586193564474,0.20792025628612087,0.0011626229102676966,0.0013490501054003179,0.005425729009356894,-0.021694273204633997,0.07027179977083095,0.11122493257680183,0.2115270703804965
2017-08-22,3998.35009765625,4100.52001953125,321.05499267578125,314.7850036621094,2.72445011138916,2.4852700233459477,0.1949709951877594,0.2392860054969787,2452.51,21899.89,1284.96,0.024684269727151875,-0.021163526602184457,-0.07990784230166148,0.24681376825114243,0.009940824503679613,0.009037147958302016,-0.00513320790653371,0.02555302046583912,-0.019529330353705635,-0.08779022491304043,0.22729027087615478
2017-08-23,4089.010009765625,4151.52001953125,315.2659912109375,317.5190124511719,2.4739699363708496,2.580430030822754,0.2409870028495788,0.2468270063400268,2444.04,21812.09,1290.44,0.01243744689870585,0.008685320956385745,0.038289604985735526,0.031514592035526645,-0.003453604674394928,-0.004009152557387208,0.004264724193749236,0.01528732128714157,0.00714641383163631,0.04303208898652755,0.02423368655318419
2017-08-24,4137.60009765625,4334.68017578125,317.447998046875,325.6109924316406,2.6273601055145264,2.379319906234741,0.2523710131645202,0.2189580053091049,2438.97,21783.4,1286.15,0.044118818020461026,0.025485025032046416,-0.07793667031688123,-0.11290904283192504,-0.002074434133647607,-0.0013153255831971356,-0.0033244474752797126,0.047631494942354705,0.025714430190107107,-0.09440662464166116,-0.13239637720847694
2017-08-25,4332.81982421875,4371.60009765625,326.1090087890625,331.9150085449219,2.3905699253082275,2.4968700408935547,0.2171999961137771,0.2178280055522918,2443.05,21813.67,1291.47,0.008517334700095969,0.019360575225680465,0.04940493052270378,-0.005160805859634521,0.0016728373042720346,0.0013895902384382097,0.004136376005908993,0.008950354506027138,0.017803861897034794,0.04446643223440593,0.002891387890199169
2017-08-28,4384.4501953125,4382.66015625,350.0429992675781,347.7470092773437,2.0214900970458984,2.0429000854492188,0.2034250050783157,0.2245080024003982,2444.24,21808.4,1309.61,0.0025299794918751672,0.047698960049524564,-0.18181561235036237,0.03066638208971173,0.00048709604797259054,-0.00024159162580150717,0.014046009585975572,-0.0004082699044942431,-0.006559165574053782,0.010591191336830078,0.10364014647051792
2017-08-29,4389.2099609375,4579.02001953125,347.9649963378906,370.6669921875,2.106250047683716,2.327579975128174,0.2240259945392608,0.2185640037059784,2446.3,21865.37,1309.48,0.0448038077972408,0.06590993538028278,0.13935086287705345,-0.026475665147200345,0.0008427977612674997,0.002612296179453688,-9.926619375222323e-05,0.04324469785747231,0.0652421826578345,0.10508245575488952,-0.02438105829868415
2017-08-30,4570.35986328125,4565.2998046875,369.4729919433594,378.4849853515625,2.28193998336792,2.35004997253418,0.218870997428894,0.2280060052871704,2457.59,21892.43,1308.15,-0.002996321218345477,0.021091689653627954,0.009653802509951959,0.04320016755317946,0.004615133058087695,0.001237573386592583,-0.0010156703424260005,-0.001107146646023006,0.024391480851690166,0.029847406006592924,0.04173694991838364
2017-08-31,4555.58984375,4703.39013671875,378.4410095214844,383.0419921875,2.3282299041748047,2.2037899494171143,0.2275580018758773,0.2556299865245819,2471.65,21948.1,1321.41,0.030247812397657503,0.012040125797076584,-0.06223698424563551,0.1211546213557817,0.005721051924853171,0.0025428881124662794,0.010136452241715332,0.032443722555822986,0.012157727493205052,-0.053448310467344384,0.12336188759477956
