date,btc_return,eth_return,bnb_return,xrp_return,sp500_return,dow_return,gold_return,btc_intraday
2017-07-27,0.05626918139220716,0.0017895800950811225,0.024719901656698573,-0.0020998719502456353,-0.0009726252406339064,0.003939936465415572,-0.0019193553504012195,0.0524164124326493
2017-07-28,0.05136275403063939,-0.054792002858213174,-0.034064431268830186,-0.043353628563441826,-0.0013411865461215866,0.001548868972383266,0.00833584971631085,0.04824367762391522
2017-07-31,0.023613329213638012,0.0556536561543155,0.001758493706451647,0.008732162555438405,-0.0007281258848751415,0.0027855765676254585,0.0003625158600686351,0.040568353835506624
2017-08-01,-0.05463008664141544,0.1123160957091931,-0.04204507397622603,0.05775279522524701,0.002449095251588762,0.0033255493551722637,-0.00035450656624924637,-0.05329991169852166
2017-08-02,-0.0027922597041331043,-0.030061434442866797,0.005859789262748105,-0.02225322942786756,0.0004926605689827834,0.002382088443228847,-0.0021593165841817807,-0.006035635134665745
2017-08-03,0.03469993075685429,0.024505344308554777,0.06162149148236362,0.00865906767399327,-0.0021835911800677232,0.00044785122255186494,0.0021087049234704835,0.03512375434275953
2017-08-04,0.03250220618176569,-0.010069127105995945,0.007989312278339655,-0.00497678232649168,0.0018890363083294837,0.0030286796119149972,-0.007975726051148602,0.031692975280470825
2017-08-07,0.16680539203722278,0.20669016435246745,0.3847098616540521,0.030378238881891617,0.001647266869345021,0.0011592006630209983,-0.0008421186433944516,0.05171842161436104
2017-08-08,0.012133983057105446,0.10249283203087356,0.5077192757647895,0.0757732545712071,-0.002414436638168982,-0.001495586031913576,0.002441021889684869,0.014752737546906168
2017-08-09,-0.022652436016542987,-0.0025002758488922305,0.08239425182386029,-0.05005041693786294,-0.0003636481179190021,-0.001659019059702005,0.013206529498548614,-0.02278386559046073
2017-08-10,0.011611191404536703,-0.0004560724594397936,0.4370595970394964,-0.013927499915494912,-0.01447441815345063,-0.009283540526198952,0.0069360179741504435,0.011801863754391838
2017-08-11,0.07965625016471445,0.0438403723513372,0.12459349100685801,-0.006053258564993502,0.0012755258980974293,0.0006550994986727066,0.0032342079689018366,0.08204351246352258
2017-08-14,0.1847658052530139,-0.02838475322640699,2.300210058356292,-0.051955570178198074,0.01004374682548792,0.006193980141200317,-0.007059771700467343,0.06370472416691314
2017-08-15,-0.033108764571511906,-0.034252232503774294,-0.18449021437097746,-0.051590989159006395,-0.0004988158193557357,0.00024006863780612342,-0.007632872863498008,-0.03352447099171759
2017-08-16,0.04655737873358379,0.0429545625895833,0.3603142011764884,-0.004900105902772012,0.0014201029777529683,0.0011764176446280583,0.009091481062035944,0.041970422780150785
2017-08-17,-0.010268161258673913,-0.0026797419604964734,0.3686997068704261,-0.01828197543789689,-0.015436913265616137,-0.012446838505743685,0.003631885774854293,-0.012031183162491023
2017-08-18,-0.03949262909690476,-0.019462160043643872,0.211905597319056,0.008793783478367123,-0.0018353833934839914,-0.0035042502021771504,-0.0024228493329400136,-0.03786005089288376
2017-08-21,-0.038186645855215695,0.0879630819791215,0.13301586193564474,0.20792025628612087,0.0011626229102676966,0.0013490501054003179,0.005425729009356894,-0.021694273204633997
2017-08-22,0.024684269727151875,-0.021163526602184457,-0.07990784230166148,0.24681376825114243,0.009940824503679613,0.009037147958302016,-0.00513320790653371,0.02555302046583912
2017-08-23,0.01243744689870585,0.008685320956385745,0.038289604985735526,0.031514592035526645,-0.003453604674394928,-0.004009152557387208,0.004264724193749236,0.01528732128714157
2017-08-24,0.044118818020461026,0.025485025032046416,-0.07793667031688123,-0.11290904283192504,-0.002074434133647607,-0.0013153255831971356,-0.0033244474752797126,0.047631494942354705
2017-08-25,0.008517334700095969,0.019360575225680465,0.04940493052270378,-0.005160805859634521,0.0016728373042720346,0.0013895902384382097,0.004136376005908993,0.008950354506027138
2017-08-28,0.0025299794918751672,0.047698960049524564,-0.18181561235036237,0.03066638208971173,0.00048709604797259054,-0.00024159162580150717,0.014046009585975572,-0.0004082699044942431
2017-08-29,0.0448038077972408,0.06590993538028278,0.13935086287705345,-0.026475665147200345,0.0008427977612674997,0.002612296179453688,-9.926619375222323e-05,0.04324469785747231
2017-08-30,-0.002996321218345477,0.021091689653627954,0.009653802509951959,0.04320016755317946,0.004615133058087695,0.001237573386592583,-0.0010156703424260005,-0.001107146646023006
2017-08-31,0.030247812397657503,0.012040125797076584,-0.06223698424563551,0.1211546213557817,0.005721051924853171,0.0025428881124662794,0.010136452241715332,0.032443722555822986
2017-09-01,0.040102909480912885,0.012267597868624636,0.08184995399402717,-0.02797399807566736,0.0019824813383773066,0.001797877720622898,0.002406520307852933,0.04046357310531587
2017-09-05,-0.10537182163676495,-0.19279104154682025,-0.5915912045019497,-0.13397510294214587,-0.007550826754961659,-0.01065375148493053,0.011596041039114047,0.0350590297080514
2017-09-06,0.050403023139341974,0.06821349589717851,0.11545873090534142,0.05110397145256851,0.003128750737433128,0.0024975509474189916,-0.004433001231389233,0.050388608782344274
2017-09-07,0.0006003248892021418,-0.014685747583790154,0.2578672651679479,-0.011256277222488786,-0.00017845989113951521,-0.0010482564825905483,0.01146917939145875,0.0023402523727307557
2017-09-08,-0.0806825161237863,-0.09996417685461689,-0.2630542819259305,-0.054203141663778265,-0.001488783416494277,0.0005972059391925466,-0.002097368284530554,-0.08173660491245809
2017-09-11,-0.015957429611291762,-0.006627373215938648,0.018851272486940962,0.013819139817564441,0.01083922760346634,0.011908546692118716,-0.014281682609470603,0.009411785329047087
2017-09-12,-0.007319871287980284,-0.010416605145978863,0.009621715820747445,-0.023959946332722026,0.003363999180100441,0.002787730359512519,0.003021284611037789,-0.009131907200230127
2017-09-13,-0.06008990178251539,-0.04924103928804324,-0.09508346882807517,-0.040730489566239925,0.0007570659488558285,0.0017776684693515676,-0.0062046482279944914,-0.060356026349825904
2017-09-14,-0.1874110117851947,-0.22808104615586566,-0.2757350476739724,-0.18234563603056364,-0.0011007176679195263,0.002044391732533901,0.004958427815570543,-0.18589712575336176
2017-09-15,0.15295648927176453,0.1708958942268084,0.1781494657671785,0.10471649380901171,0.0018472363580994688,0.002921163709472596,-0.0069722314149042175,0.14882353644201457
2017-09-18,0.11757459184945951,0.1718131307682167,0.13691599641079288,0.04637240710889223,0.0014558660603223306,0.002829577777238912,-0.009922062577160995,0.1320239402737284
