config,model,mae,rmse,epochs,window,hidden_size,lr,batch_size
btc_only,CNN,0.04369150794093887,0.05665695133273492,5,3,64,0.0005,32
btc_only,LSTM,0.03852945021270356,0.052597845908078034,5,3,128,0.001,8
btc_only,LSTM_Attn,0.0379004863532,0.052122932553374815,5,3,128,0.001,8
btc_only,GRU,0.03750826906371653,0.05168893680890709,5,3,128,0.001,8
btc_only,CNN,0.04646320512325524,0.06461756924364499,5,3,128,0.001,8
btc_only,LSTM,0.03803040603315111,0.052081554036203466,5,3,128,0.001,16
btc_only,LSTM_Attn,0.03866843080898854,0.052653425300554134,5,3,128,0.001,16
btc_only,GRU,0.038587897420330836,0.052769630340673945,5,3,128,0.001,16
btc_only,CNN,0.04204761440638721,0.05624592279632403,5,3,128,0.001,16
btc_only,LSTM,0.03831775165307328,0.052378159056041027,5,3,128,0.001,32
btc_only,LSTM_Attn,0.03822251063189371,0.052223994383878855,5,3,128,0.001,32
btc_only,GRU,0.037702563811787104,0.05197712507085442,5,3,128,0.001,32
btc_only,CNN,0.03988899713776066,0.05369260117886442,5,3,128,0.001,32
btc_only,LSTM,0.038334875797416144,0.05243729475437363,5,3,128,0.0005,8
btc_only,LSTM_Attn,0.038256114122430504,0.05231660654829118,5,3,128,0.0005,8
btc_only,GRU,0.03794617644003682,0.05183433391274315,5,3,128,0.0005,8
btc_only,CNN,0.047407401382433795,0.06256500435036683,5,3,128,0.0005,8
btc_only,LSTM,0.038202656824571565,0.05222995743128877,5,3,128,0.0005,16
btc_only,LSTM_Attn,0.0383897649563788,0.05235429215373277,5,3,128,0.0005,16
btc_only,GRU,0.038298441194574456,0.0523965792779284,5,3,128,0.0005,16
btc_only,CNN,0.046371562578215855,0.06268646549628099,5,3,128,0.0005,16
btc_only,LSTM,0.038362106313323166,0.05239372950756245,5,3,128,0.0005,32
btc_only,LSTM_Attn,0.037819328743941505,0.051972969456082284,5,3,128,0.0005,32
btc_only,GRU,0.03764860221441012,0.0518091233946857,5,3,128,0.0005,32
btc_only,CNN,0.0516232933699499,0.06930800143604113,5,3,128,0.0005,32
btc_only,LSTM,0.03778448836125712,0.05187943596897627,5,3,256,0.001,8
btc_only,LSTM_Attn,0.039922532149498126,0.05588026373529467,5,3,256,0.001,8
btc_only,GRU,0.03957644452931788,0.05400553348742551,5,3,256,0.001,8
btc_only,CNN,0.04290740768915901,0.0596258995869308,5,3,256,0.001,8
btc_only,LSTM,0.03855536623693642,0.05270510676512957,5,3,256,0.001,16
btc_only,LSTM_Attn,0.03876312548488543,0.05270339281752578,5,3,256,0.001,16
btc_only,GRU,0.03784393426888636,0.05235479309877724,5,3,256,0.001,16
btc_only,CNN,0.04074753454019506,0.05645037388448232,5,3,256,0.001,16
btc_only,LSTM,0.03870118726852273,0.05273069516447236,5,3,256,0.001,32
btc_only,LSTM_Attn,0.03808377407911477,0.05224793072725803,5,3,256,0.001,32
btc_only,GRU,0.039116516266431596,0.05334545210475616,5,3,256,0.001,32
btc_only,CNN,0.04932591779112781,0.0652051826138701,5,3,256,0.001,32
btc_only,LSTM,0.038088144419334356,0.05209964612720261,5,3,256,0.0005,8
btc_only,LSTM_Attn,0.03787940960223635,0.051900923023252686,5,3,256,0.0005,8
btc_only,GRU,0.03864984282170073,0.05334970211524218,5,3,256,0.0005,8
btc_only,CNN,0.04974246997303219,0.06969925792701051,5,3,256,0.0005,8
btc_only,LSTM,0.03827236267394867,0.05232846130588639,5,3,256,0.0005,16
btc_only,LSTM_Attn,0.038618570421823456,0.052554691311143154,5,3,256,0.0005,16
btc_only,GRU,0.03950667627597499,0.05344395567406248,5,3,256,0.0005,16
btc_only,CNN,0.059763865328350575,0.07431799294187535,5,3,256,0.0005,16
btc_only,LSTM,0.039420446040512654,0.05303082104570648,5,3,256,0.0005,32
btc_only,LSTM_Attn,0.03796062319758861,0.05198233984943024,5,3,256,0.0005,32
btc_only,GRU,0.03733184375303762,0.05170889306464049,5,3,256,0.0005,32
btc_only,CNN,0.044702956349331795,0.05969558227303482,5,3,256,0.0005,32
btc_only,LSTM,0.038351697869796635,0.052480272250629775,5,7,32,0.001,8
btc_only,LSTM_Attn,0.038456578631881656,0.05244545459833297,5,7,32,0.001,8
btc_only,GRU,0.038390071927632295,0.052567800548006006,5,7,32,0.001,8
btc_only,CNN,0.0492372063729887,0.06512417263478562,5,7,32,0.001,8
btc_only,LSTM,0.03884692748260413,0.0528327289811006,5,7,32,0.001,16
btc_only,LSTM_Attn,0.03849497050900612,0.052512130220193944,5,7,32,0.001,16
btc_only,GRU,0.03959106929555333,0.05383365469213616,5,7,32,0.001,16
btc_only,CNN,0.04028537039256424,0.05600300113161905,5,7,32,0.001,16
btc_only,LSTM,0.03882090408658218,0.05285778465500838,5,7,32,0.001,32
btc_only,LSTM_Attn,0.03915116262424308,0.053064163868187776,5,7,32,0.001,32
btc_only,GRU,0.038893110579291915,0.05306911339344022,5,7,32,0.001,32
btc_only,CNN,0.042339161042849106,0.055627984435069576,5,7,32,0.001,32
btc_only,LSTM,0.03842617747000805,0.052430260937008484,5,7,32,0.0005,8
btc_only,LSTM_Attn,0.0386788560867471,0.05267698873049861,5,7,32,0.0005,8
btc_only,GRU,0.03815569091669287,0.052679000970238525,5,7,32,0.0005,8
btc_only,CNN,0.06514179279692878,0.08348187714046167,5,7,32,0.0005,8
btc_only,LSTM,0.03977114996356929,0.053484007400940795,5,7,32,0.0005,16
btc_only,LSTM_Attn,0.038695151367343285,0.05270304220426005,5,7,32,0.0005,16
btc_only,GRU,0.038701115489684315,0.05270130405607816,5,7,32,0.0005,16
btc_only,CNN,0.050038378992406984,0.06571150494429244,5,7,32,0.0005,16
btc_only,LSTM,0.03928646511566848,0.053239227401502956,5,7,32,0.0005,32
btc_only,LSTM_Attn,0.038397717744576745,0.052553197206855314,5,7,32,0.0005,32
btc_only,GRU,0.039015216434081366,0.05303807565235778,5,7,32,0.0005,32
btc_only,CNN,0.04858650736431196,0.06367504190223358,5,7,32,0.0005,32
btc_only,LSTM,0.03852056987274006,0.05251005641303209,5,7,64,0.001,8
btc_only,LSTM_Attn,0.03846339202614224,0.05246035765829761,5,7,64,0.001,8
btc_only,GRU,0.038577014961347446,0.05264099964987133,5,7,64,0.001,8
btc_only,CNN,0.055144489490242074,0.07223569960661881,5,7,64,0.001,8
btc_only,LSTM,0.038904512626528755,0.05281858064316219,5,7,64,0.001,16
btc_only,LSTM_Attn,0.03936387430349361,0.053226025851497515,5,7,64,0.001,16
btc_only,GRU,0.039260282104838125,0.053346445407098826,5,7,64,0.001,16
btc_only,CNN,0.04357744335732513,0.05803010869494468,5,7,64,0.001,16
btc_only,LSTM,0.03915073648559284,0.053069683175441994,5,7,64,0.001,32
btc_only,LSTM_Attn,0.03867305001259104,0.05272589491520344,5,7,64,0.001,32
btc_only,GRU,0.03894941922874839,0.052936011977365194,5,7,64,0.001,32
btc_only,CNN,0.056856808962610535,0.0707402280966292,5,7,64,0.001,32
btc_only,LSTM,0.03854867533364575,0.05252046017297149,5,7,64,0.0005,8
btc_only,LSTM_Attn,0.0386749175768199,0.052623272845718494,5,7,64,0.0005,8
btc_only,GRU,0.038226411931922215,0.05227538228435416,5,7,64,0.0005,8
btc_only,CNN,0.05040605725119605,0.06545229387115423,5,7,64,0.0005,8
btc_only,LSTM,0.03845729100048444,0.052546161648271264,5,7,64,0.0005,16
btc_only,LSTM_Attn,0.039145410983172126,0.053075204573442065,5,7,64,0.0005,16
btc_only,GRU,0.038325854048404134,0.05261998381040317,5,7,64,0.0005,16
btc_only,CNN,0.06289451327461347,0.08751550080716848,5,7,64,0.0005,16
btc_only,LSTM,0.038529621771084155,0.05258949123691923,5,7,64,0.0005,32
btc_only,LSTM_Attn,0.04019870549283774,0.05392093368871741,5,7,64,0.0005,32
btc_only,GRU,0.03843420881355181,0.05267381533208299,5,7,64,0.0005,32
btc_only,CNN,0.058654046293342116,0.07871475546670637,5,7,64,0.0005,32
btc_only,LSTM,0.03869436666251978,0.05262529477967228,5,7,128,0.001,8
btc_only,LSTM_Attn,0.038450936115115734,0.052469183997370716,5,7,128,0.001,8
btc_only,GRU,0.03857024860557262,0.052764262051456824,5,7,128,0.001,8
btc_only,CNN,0.050020592511743386,0.06576278175692941,5,7,128,0.001,8
btc_only,LSTM,0.038958151115069846,0.052892042494794504,5,7,128,0.001,16
btc_only,LSTM_Attn,0.03876689743219923,0.05272703367584341,5,7,128,0.001,16
btc_only,GRU,0.038756020725601234,0.052905958514062115,5,7,128,0.001,16
btc_only,CNN,0.038683182726371834,0.05300887712588401,5,7,128,0.001,16
btc_only,LSTM,0.03948069938764658,0.05332674498154206,5,7,128,0.001,32
btc_only,LSTM_Attn,0.03887942896996435,0.05283142999897557,5,7,128,0.001,32
btc_only,GRU,0.039113933017537884,0.0530665206840425,5,7,128,0.001,32
btc_only,CNN,0.052009657170813614,0.07006813014348011,5,7,128,0.001,32
btc_only,LSTM,0.03828969945848872,0.052656854669090605,5,7,128,0.0005,8
btc_only,LSTM_Attn,0.038770180669942,0.052777742052952104,5,7,128,0.0005,8
btc_only,GRU,0.038130156510725044,0.05221178981285065,5,7,128,0.0005,8
btc_only,CNN,0.04059340077517703,0.054244042186500314,5,7,128,0.0005,8
btc_only,LSTM,0.041050708025722214,0.05478703222102301,5,7,128,0.0005,16
btc_only,LSTM_Attn,0.03855541466055044,0.05255622134044794,5,7,128,0.0005,16
btc_only,GRU,0.038974051635668694,0.0535976509934513,5,7,128,0.0005,16
btc_only,CNN,0.044547796744315984,0.058764298138281074,5,7,128,0.0005,16
btc_only,LSTM,0.03853300061816893,0.05246995326879418,5,7,128,0.0005,32
btc_only,LSTM_Attn,0.03948015781054479,0.053287248297989,5,7,128,0.0005,32
btc_only,GRU,0.039643325311387714,0.05368110178137182,5,7,128,0.0005,32
btc_only,CNN,0.04501917639532577,0.05908616043165082,5,7,128,0.0005,32
btc_only,LSTM,0.03839960466560306,0.05248525593762228,5,7,256,0.001,8
btc_only,LSTM_Attn,0.0386932300831053,0.05270786889435936,5,7,256,0.001,8
btc_only,GRU,0.038680831449076615,0.053197788805253755,5,7,256,0.001,8
btc_only,CNN,0.04210226419174933,0.057865697471778055,5,7,256,0.001,8
btc_only,LSTM,0.039279326612042476,0.05317388028626242,5,7,256,0.001,16
btc_only,LSTM_Attn,0.03869286013145517,0.05273833046575722,5,7,256,0.001,16
btc_only,GRU,0.038976372337960974,0.052946189017338094,5,7,256,0.001,16
btc_only,CNN,0.040509827390162095,0.05523498623488226,5,7,256,0.001,16
btc_only,LSTM,0.03914042405150048,0.05309950761362731,5,7,256,0.001,32
btc_only,LSTM_Attn,0.03889296212368259,0.052841484586107386,5,7,256,0.001,32
btc_only,GRU,0.03950871893110152,0.05387129590848813,5,7,256,0.001,32
btc_only,CNN,0.04125202178621396,0.05525163617027453,5,7,256,0.001,32
btc_only,LSTM,0.038618860208316834,0.05266541075736359,5,7,256,0.0005,8
btc_only,LSTM_Attn,0.03840323954347111,0.052395302991988156,5,7,256,0.0005,8
btc_only,GRU,0.03906265664649712,0.053021113748321747,5,7,256,0.0005,8
btc_only,CNN,0.05267154680628626,0.0686434953190549,5,7,256,0.0005,8
btc_only,LSTM,0.03889089888490686,0.052819875429190206,5,7,256,0.0005,16
btc_only,LSTM_Attn,0.04020048477196441,0.054005952566588245,5,7,256,0.0005,16
btc_only,GRU,0.03859350628807596,0.053041491188089346,5,7,256,0.0005,16
btc_only,CNN,0.046124761657842274,0.06095867979088362,5,7,256,0.0005,16
btc_only,LSTM,0.03876083628216127,0.0526483288134955,5,7,256,0.0005,32
btc_only,LSTM_Attn,0.038711558619673285,0.05274236256589922,5,7,256,0.0005,32
btc_only,GRU,0.039078964721779845,0.053075877682082793,5,7,256,0.0005,32
btc_only,CNN,0.04355893898032621,0.058452167558362245,5,7,256,0.0005,32
btc_only,LSTM,0.037996389927177215,0.05208212244885378,10,3,32,0.001,8
btc_only,LSTM_Attn,0.038181097343584894,0.05227318294417124,10,3,32,0.001,8
btc_only,GRU,0.03775671198998915,0.051868155886060134,10,3,32,0.001,8
btc_only,CNN,0.04519156625173689,0.060443550296625306,10,3,32,0.001,8
btc_only,LSTM,0.03819208147458144,0.052219447716883444,10,3,32,0.001,16
btc_only,LSTM_Attn,0.038319906930772016,0.05233074865652353,10,3,32,0.001,16
btc_only,GRU,0.03789900993755352,0.051951437619696596,10,3,32,0.001,16
btc_only,CNN,0.04029819986654006,0.05517371643721117,10,3,32,0.001,16
btc_only,LSTM,0.038849318185574154,0.052802850094367415,10,3,32,0.001,32
btc_only,LSTM_Attn,0.03841092416980882,0.05237683358838917,10,3,32,0.001,32
btc_only,GRU,0.038279275286058526,0.052310236423431924,10,3,32,0.001,32
btc_only,CNN,0.04085038552576914,0.055349160751038115,10,3,32,0.001,32
btc_only,LSTM,0.038117363716215595,0.052160658504227284,10,3,32,0.0005,8
btc_only,LSTM_Attn,0.03801832647715605,0.05200430429242631,10,3,32,0.0005,8
btc_only,GRU,0.03845770245189377,0.052496830081290496,10,3,32,0.0005,8
btc_only,CNN,0.04823884477967988,0.06417383544656444,10,3,32,0.0005,8
btc_only,LSTM,0.03808409417175847,0.05209213325196364,10,3,32,0.0005,16
btc_only,LSTM_Attn,0.03804171607582931,0.052055401117322736,10,3,32,0.0005,16
btc_only,GRU,0.04013149063451904,0.05386424144531928,10,3,32,0.0005,16
btc_only,CNN,0.040950083143861546,0.0559167468789543,10,3,32,0.0005,16
btc_only,LSTM,0.038641608473010125,0.05258349217447815,10,3,32,0.0005,32
btc_only,LSTM_Attn,0.038354464482080526,0.05236800460981875,10,3,32,0.0005,32
btc_only,GRU,0.03777358984966901,0.052146371149976625,10,3,32,0.0005,32
btc_only,CNN,0.04113998498628201,0.055538529371331545,10,3,32,0.0005,32
btc_only,LSTM,0.03773688318865983,0.05181230293501742,10,3,64,0.001,8
btc_only,LSTM_Attn,0.038080747991236535,0.05213643310812454,10,3,64,0.001,8
btc_only,GRU,0.038239864154540434,0.052367391215305065,10,3,64,0.001,8
btc_only,CNN,0.04406020715336475,0.05941746631777997,10,3,64,0.001,8
btc_only,LSTM,0.0382913535587548,0.052395346485630996,10,3,64,0.001,16
btc_only,LSTM_Attn,0.03800508920030004,0.05205064959346177,10,3,64,0.001,16
btc_only,GRU,0.038360059041020314,0.052415564645787296,10,3,64,0.001,16
btc_only,CNN,0.0405861360796242,0.05482766115292515,10,3,64,0.001,16
btc_only,LSTM,0.03862609425292659,0.052518728080519356,10,3,64,0.001,32
btc_only,LSTM_Attn,0.038200047331062324,0.05214686183409335,10,3,64,0.001,32
btc_only,GRU,0.03775220728148382,0.05205275160344839,10,3,64,0.001,32
btc_only,CNN,0.04063976132736675,0.05448770090390963,10,3,64,0.001,32
btc_only,LSTM,0.038377475830190244,0.052425761489973695,10,3,64,0.0005,8
btc_only,LSTM_Attn,0.03867838843126377,0.05267212331214161,10,3,64,0.0005,8
btc_only,GRU,0.03783805910876827,0.05182019415043077,10,3,64,0.0005,8
btc_only,CNN,0.04362745121995916,0.059947087103148666,10,3,64,0.0005,8
btc_only,LSTM,0.038251429263203865,0.05235201501656666,10,3,64,0.0005,16
btc_only,LSTM_Attn,0.038159038468838204,0.0520581569986443,10,3,64,0.0005,16
btc_only,GRU,0.038186609692126616,0.05233180520818344,10,3,64,0.0005,16
btc_only,CNN,0.039978605105412277,0.05416068645454283,10,3,64,0.0005,16
